name,lat,lon,on_card,card_name,card_open,opening_hours,seasonal,operator,website,phone,shower,toilets,drinking_water,power_supply,osm
Tjaldvæðið í Brautarholti,64.021793,-20.521137,,,,,,,http://southcentral.is/campsite/,+354 663 4666,,,,,https://www.openstreetmap.org/way/1501065227
Tungudalur,66.059841,-23.204866,yes,Tungudalur,10 of June -15th of September,,,G.I. halldórsson ehf,http://www.gih.is,+354 864 8592,,,,,https://www.openstreetmap.org/way/484522631
Urðartindur,66.049848,-21.567189,,,,,,Urðartindur,https://www.urdartindur.is/,+354 843 8110,,,,,https://www.openstreetmap.org/way/496431594
Vaglaskógur,65.700844,-17.885761,,,,,,,https://www.skogur.is/,+354 860 4714,,,,,https://www.openstreetmap.org/way/485493050
Varmaland,64.691949,-21.594991,,,,,,,https://www.visitakranes.is,+354 775 1012,no,yes,yes,,https://www.openstreetmap.org/way/484507027
Vestrahorn,64.255132,-14.994669,,,,All year,,,https://www.vestrahorn.is/campsite,+354 478 2577,yes,yes,yes,yes,https://www.openstreetmap.org/way/1421049645
Viðistaðatúni,64.074546,-21.964755,,,,,,,http://www.lavahostel.is,+354 565 0900,hot,yes,yes,,https://www.openstreetmap.org/way/167411303
Vogar,65.623781,-16.917537,,,,,,,https://www.vogartravelservice.com/camping,+354 464 4399,yes,yes,yes,yes,https://www.openstreetmap.org/way/295811364
Á,65.264741,-22.342116,,,,,,,,,,,,,https://www.openstreetmap.org/way/823821729
Áfangagil,64.102271,-19.577598,,,,,,,https://www.afangagil.is/,,,,,,https://www.openstreetmap.org/node/12909134201
Áfangi,65.148948,-19.72924,,,,Jun 15-Sep 1,,,,,,,,,https://www.openstreetmap.org/node/910847719
Álfaskeið,64.085997,-20.423319,,,,,,,sydralangholt.is,+354 486 6774,,,,,https://www.openstreetmap.org/way/182765543
Árblik Campground,65.019279,-21.64874,,,,,,Welcome Iceland,,,,,,,https://www.openstreetmap.org/node/14080817380
Árbúðir,64.609222,-19.703618,,,,,,,,,,,,,https://www.openstreetmap.org/node/60714223
Árhús,63.832129,-20.407593,,,,,,,https://www.arhus.is/camping,+354 487 5577,,,,,https://www.openstreetmap.org/way/225558183
Ármeningaflöt,63.6779,-19.476579,,,,,,,,,,,,,https://www.openstreetmap.org/way/1303098459
Ártún,65.906797,-18.068232,,,,,,,https://artun.is/,+354 892 3591,,,,,https://www.openstreetmap.org/way/182970919
Ásbrandsstaðir,65.704202,-14.919029,,,,,,,https://www.visitvopnafjordur.com/en/where-to-stay/asbrandsstadir,+354 863 8734,yes,yes,yes,,https://www.openstreetmap.org/way/980883137
Ásbyrgi,66.024659,-16.49658,,,,,,,http://www.vjp.is,+354 470 7100,,,,,https://www.openstreetmap.org/way/39690000
Útilífsmiðstöð skáta Úlfljótsvatni,64.095323,-21.04362,,,,,,,https://ulfljotsvatn.is/,,,,,,https://www.openstreetmap.org/node/1906829759
Þakgil,63.530497,-18.887613,,,,,,Þakgil,http://www.thakgil.is,+354 893 4889,,,,,https://www.openstreetmap.org/way/362555481
Þingborg,63.941899,-20.821447,,,,,,,,+354 691 7082,,,,,https://www.openstreetmap.org/node/4778641920
Þjórsárver,63.880623,-20.755087,,,,,,,,+354 899 7748,,,,,https://www.openstreetmap.org/way/484907346
Þveraurar,63.677923,-19.468006,,,,,,Útivist,,,,,,,https://www.openstreetmap.org/way/1303068070
Þvergil,63.678715,-19.450988,,,,,,Útivist,,,,,,,https://www.openstreetmap.org/way/1303068067
Þórsheimilið,63.438035,-20.289995,,,,24/7,,,https://tjalda.is/en/campsite/vestmannaeyjar,+354 609 073,,,,,https://www.openstreetmap.org/way/37918398
Þórsmörk Langidalur,63.685014,-19.513145,,,,,,,,,,,,,https://www.openstreetmap.org/way/839648785
